[2026-04-10T12:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T12:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T13:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T13:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T14:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T14:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T15:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T15:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T16:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T16:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T17:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T17:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T18:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T18:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T19:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T19:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T20:00] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
[2026-04-10T20:30] equipment-check | yellow | 1 issue(s) | 1 equipment issue(s): ESP32 post failures elevated (6) in last hour — WiFi insta
